BugId,Link,Title,Type,concurrencyBugs,configBugs,optimBugs,perfBugs,errorBugs,hangBugs
FLUME-3333,https://issues.apache.org/jira/browse/FLUME-3333?jql=id%3DFLUME-3333,"KafkaSource will reprocess the same events through the Interceptor chain multiple times, if anything throws an Exception during doProcess",[],0,0,0,0,0,0
FLUME-3332,https://issues.apache.org/jira/browse/FLUME-3332?jql=id%3DFLUME-3332,MintorService.stop() method called twice when flume is stop,[],0,0,0,0,0,0
FLUME-3331,https://issues.apache.org/jira/browse/FLUME-3331?jql=id%3DFLUME-3331,Update User Guide In Hive Sink and Hdfs Sink,[],0,0,0,0,0,0
FLUME-3330,https://issues.apache.org/jira/browse/FLUME-3330?jql=id%3DFLUME-3330,number of parameters does not match in logging,[],0,0,0,0,0,0
FLUME-3329,https://issues.apache.org/jira/browse/FLUME-3329?jql=id%3DFLUME-3329,Unable to apply log4j.properties in flume-agent,[],0,0,0,0,0,0
FLUME-3328,https://issues.apache.org/jira/browse/FLUME-3328?jql=id%3DFLUME-3328,Fix Deprecated Properties table of HDFS Sink,[],0,0,0,0,0,0
FLUME-3326,https://issues.apache.org/jira/browse/FLUME-3326?jql=id%3DFLUME-3326,HDFSEventSink should log the exceptions before rolling back,['error handling'],0,0,0,0,1,0
FLUME-3325,https://issues.apache.org/jira/browse/FLUME-3325?jql=id%3DFLUME-3325,"TaildirSource causing oom when tailing a lot of files, where some file is writing frequently but the others are idle.",[],0,0,0,0,0,0
FLUME-3322,https://issues.apache.org/jira/browse/FLUME-3322?jql=id%3DFLUME-3322,Tests: Fixed error message on TestTaildirMatcher.java,[],0,0,0,0,0,0
FLUME-3321,https://issues.apache.org/jira/browse/FLUME-3321?jql=id%3DFLUME-3321, Do not free disk space after removing files on several computers,[],0,0,0,0,0,0
FLUME-3320,https://issues.apache.org/jira/browse/FLUME-3320?jql=id%3DFLUME-3320,Taildir source reset position bug,[],0,0,0,0,0,0
FLUME-3318,https://issues.apache.org/jira/browse/FLUME-3318?jql=id%3DFLUME-3318,Your project cloudera/flume is using buggy third-party libraries [WARNING],[],0,0,0,0,0,0
FLUME-3316,https://issues.apache.org/jira/browse/FLUME-3316?jql=id%3DFLUME-3316,Syslog Rfc3164Date test fails when the test date falls on a leap day,[],0,0,0,0,0,0
FLUME-3315,https://issues.apache.org/jira/browse/FLUME-3315?jql=id%3DFLUME-3315,[KafkaSink][KafkaSource] Impossible to disable hostname verification with SSL enryption,[],0,0,0,0,0,0
FLUME-3314,https://issues.apache.org/jira/browse/FLUME-3314?jql=id%3DFLUME-3314,Flume kafka source/channel throws NPE when migrateOffsets() is called on nonexistent topics,[],0,0,0,0,0,0
